Article:,Link:,Year Published:,Lot Number,Summary
Efficient Delivery of FMR1 across the Blood Brain Barrier Using AAVphp Construct in Adult FMR1 KO Mice Suggests the Feasibility of Gene Therapy for Fragile X Syndrome,https://pubmed.ncbi.nlm.nih.gov/36833432/,2023,,
Extra-viral DNA in adeno-associated viral vector preparations induces TLR9-dependent innate immune responses in human plasmacytoid dendritic cells,https://pmc.ncbi.nlm.nih.gov/articles/PMC9894911/,2023,,
Fast and efficient size exclusion chromatography of adeno associated viral vectors with 2.5 μm particle low adsorption columns,https://www.sciencedirect.com/science/article/pii/S0021967323008129,2023,,
Genome editing in the mouse brain with minimally immunogenic Cas9 RNPs,https://pmc.ncbi.nlm.nih.gov/articles/PMC10422012/,2023,,
Glucose-mediated mitochondrial reprogramming by cholesterol export at TM4SF5-enriched mitochondria-lysosome contact sites,https://spj.science.org/doi/10.1002/cac2.12510,2023,,
In vivo identification of astrocyte and neuron subproteomes by proximity-dependent biotinylation,PMC,2023,,
Increasing Adiponectin Signaling by Sub-Chronic AdipoRon Treatment Elicits Antidepressant- and Anxiolytic-Like Effects Independent of Changes in Hippocampal Plasticity,https://www.mdpi.com/2227-9059/11/2/249,2023,,
Innate and adaptive AAV-mediated immune responses in a mouse model of Duchenne muscular dystrophy,https://pubmed.ncbi.nlm.nih.gov/37746243/,2023,,
Lateral preoptic area glutamate neurons relay nociceptive information to the ventral tegmental area,PMC,2023,,
Long-range inhibition synchronizes and updates prefrontal task activity,https://www.nature.com/articles/s41586-023-06012-9,2023,,
Long-term muscle-specific overexpression of DOK7 in mice using AAV9-tMCK-DOK7,PMC,2023,,
"Loss of C9orf72 perturbs the Ran-GTPase gradient and nucleocytoplasmic transport, generating compositionally diverse Importin β-1 granules",https://www.sciencedirect.com/science/article/pii/S2211124723001456,2023,,
Neuronal and astrocytic contributions to Huntington’s disease dissected with zinc finger protein transcriptional repressors,https://pmc.ncbi.nlm.nih.gov/articles/PMC9898160/,2023,,
"Neuronal APOE4 removal protects against tau-mediated gliosis, neurodegeneration and myelin deficits",https://pmc.ncbi.nlm.nih.gov/articles/PMC10154214/,2023,,
Prefrontal cortex melanocortin 4 receptors (MC4R) mediate food intake behavior in male mice,https://pmc.ncbi.nlm.nih.gov/articles/PMC10528493/,2023,,
Production and characterization of an AAV1-VP3-only capsid: An analytical benchmark standard,https://pmc.ncbi.nlm.nih.gov/articles/PMC10238842/,2023,,
"Rapid Characterization of Adeno-Associated Virus
(AAV) Capsid Proteins using Microchip ZipChip
CE-MS",https://chemrxiv.org/doi/pdf/10.26434/chemrxiv-2023-ttf30,2023,,
Synaptotagmin-1 is a Ca²⁺ sensor for somatodendritic dopamine release,https://pmc.ncbi.nlm.nih.gov/articles/PMC9993464/,2023,,
β2 nAChR Activation on VTA DA Neurons Is Sufficient for Nicotine Reinforcement in Rats,https://pmc.ncbi.nlm.nih.gov/articles/PMC10216253/,2023,,
‘A novel approach to quantitate biodistribution and transduction of adeno-associated virus gene therapy using radiolabeled AAV vectors in mice’:,  https://pmc.ncbi.nlm.nih.gov/articles/PMC11404148/,2024,,
A mesocortical glutamatergic pathway modulates neuropathic pain independent of dopamine co-release,https://www.nature.com/articles/s41467-024-45035-2,2024,,
A Novel Method for Separating Full and Empty Adeno-Associated Viral Capsids Using Ultrafiltration,https://pmc.ncbi.nlm.nih.gov/articles/PMC11434191/,2024,,
A sensitive AAV transduction inhibition assay assists evaluation of critical factors for detection and concordance of pre-existing antibodies,https://pmc.ncbi.nlm.nih.gov/articles/PMC10618111/,2024,,
AAV delivery strategy with mechanical support for safe and efficacious cardiac gene transfer in swine,https://www.nature.com/articles/s41467-024-54635-x,2024,,
AAV dose-dependent transduction efficiency in retinal ganglion cells and functional efficacy of optogenetic vision restoration,https://www.nature.com/articles/s41434-024-00485-7,2024,,
Adeno-associated virus genome quantification with amplification-free CRISPR-Cas12a,https://www.nature.com/articles/s41434-024-00449-x,2024,,
Amygdala-hippocampus somatostatin interneuron beta-synchrony underlies a cross-species biomarker of emotional state,https://www.sciencedirect.com/science/article/pii/S0896627323009765,2024,,
Amygdala-liver signaling orchestrates rapid glycemic responses to stress and drives stress-induced metabolic dysfunction,https://pmc.ncbi.nlm.nih.gov/articles/PMC10996786/,2024,,
An improved high-resolution method for quantitative separation of empty and filled AAV8 capsids by strong anion exchange HPLC,https://pubmed.ncbi.nlm.nih.gov/39411057/,2024,,
Assessment of adeno-associated virus purity by capillary electrophoresis-based western,https://pmc.ncbi.nlm.nih.gov/articles/PMC11396060/#sec4,2024,,
Astrocytic CREB in nucleus accumbens promotes susceptibility to chronic stress,https://pmc.ncbi.nlm.nih.gov/articles/PMC10827054/,2024,,
Ca²⁺-dependent phosphodiesterase 1 regulates the plasticity of striatal spiny projection neuron glutamatergic synapses,https://pmc.ncbi.nlm.nih.gov/articles/PMC11426333/,2024,,
CHIP ameliorates nonalcoholic fatty liver disease via promoting K63- and K27-linked STX17 ubiquitination to facilitate autophagosome-lysosome fusion,Nature Communications,2024,,
Cholecystokinin-expressing neurons of the ventromedial hypothalamic nucleus control energy homeostasis,https://www.frontiersin.org/journals/cellular-neuroscience/articles/10.3389/fncel.2024.1483368/full,2024,,
DDX3X overexpression decreases dipeptide repeat proteins in a mouse model of C9ORF72-ALS/FTD,https://pmc.ncbi.nlm.nih.gov/articles/PMC11058010/,2024,,
Disruption of nuclear speckle integrity dysregulates RNA splicing in C9ORF72-FTD/ALS,https://www.sciencedirect.com/science/article/abs/pii/S0896627324005701,2024,,
Essential role of pre-existing humoral immunity in TLR9-mediated type I IFN response to recombinant AAV vectors in human whole blood,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2024.1354055/full,2024,,
Expression of sensitized β2 nAChR subunits in VTA neurons enhances intravenous nicotine self-administration in male rats,https://pubmed.ncbi.nlm.nih.gov/39299573/,2024,,
Feed-forward metabotropic signaling by Cav1 Ca²⁺ channels supports pacemaking in pedunculopontine cholinergic neurons,https://pmc.ncbi.nlm.nih.gov/articles/PMC10792542/,2024,,
Immunomodulation by the combination of statin and matrix-bound nanovesicle enhances optic nerve regeneration,PMC,2024,,
Local stimulation of pyramidal neurons in deep cortical layers of anesthetized rats enhances cortical visual information processing,https://pmc.ncbi.nlm.nih.gov/articles/PMC11445437/,2024,,
Locus coeruleus norepinephrine contributes to visual-spatial attention by selectively enhancing perceptual sensitivity,PMC,2024,,
Mouse parasubthalamic Crh neurons drive alcohol drinking escalation and behavioral disinhibition,https://pmc.ncbi.nlm.nih.gov/articles/PMC11257461/,2024,,
Neuronal AMPK regulates microglial lipid droplet accumulation in tauopathy brain,https://pmc.ncbi.nlm.nih.gov/articles/PMC11153007/,2024,,
Physicochemical and biological impacts of light stress on adeno-associated virus serotype 6,https://pmc.ncbi.nlm.nih.gov/articles/PMC11609365/,2024,,
Reduced Retinal Pigment Epithelial Autophagy Due to Loss of Rab12 Prenylation in a Human iPSC-RPE Model of Choroideremia,https://pmc.ncbi.nlm.nih.gov/articles/PMC11201631/,2024,,
Reduced striatal M4-cholinergic signaling following dopamine loss contributes to parkinsonian and L-DOPA–induced dyskinetic behaviors,https://pmc.ncbi.nlm.nih.gov/articles/PMC11578179/,2024,,
Size-exclusion chromatography as a multi-attribute method for process and product characterization of adeno-associated virus,https://pmc.ncbi.nlm.nih.gov/articles/PMC11647602/,2024,,
Therapeutic effects of a novel synthetic α-secretase,https://www.frontiersin.org/journals/aging-neuroscience/articles/10.3389/fnagi.2024.1383905/full,2024,,
Thorough molecular configuration analysis of noncanonical AAV genomes in AAV vector preparations,https://www.sciencedirect.com/science/article/pii/S2329050124000317,2024,,
TRIM21 and Fc-engineered antibodies: decoding its complex antibody binding mode with implications for viral neutralization,PMC,2024,,
α-Synuclein pathology disrupts mitochondrial function in dopaminergic and cholinergic neurons at-risk in Parkinson’s disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC11462807/,2024,,
β2 nAChR sensitivity modulates acquisition of cocaine self-administration in male rats*,https://pmc.ncbi.nlm.nih.gov/articles/PMC10994757/,2024,,
Probing recombinant AAV capsid integrity and genome release by mass photometry,ScienceDirect,2024,,
Single-capsid identification of full and empty status of adeno-associated virus particles,ScienceDirect,2024,,
Administration of an AAV vector coding for a P2X7-blocking nanobody-based biologic ameliorates colitis in mice,Journal of Nanobiotechnology,2024,,
A Robust and Automated Platform for Charge Detection Mass Spectrometry of Megadalton Biotherapeutics,PMC,2025,,
Adeno-associated viral vectors encoding anti-P2X7 nanobodies reduce graft-versus-host disease in a humanised mouse model,https://pmc.ncbi.nlm.nih.gov/articles/PMC12591662/,2025,,
Amygdala AVPR1A mediates susceptibility to chronic social isolation in female mice,https://www.nature.com/articles/s41467-025-64742-y,2025,,
Amygdala–liver signalling orchestrates glycaemic responses to stress,Nature,2025,,
An Automated Workflow Leveraging Machine Learning for Physical Titer Determination from Cryo-TEM Images of Adeno-Associated Virus Capsids,PMC,2025,,
An Integrated Experimental and Modeling Approach for Crystallization of Complex Biotherapeutics,https://pmc.ncbi.nlm.nih.gov/articles/PMC12142576/,2025,,
"Astrocytic CREB regulates transcriptomic, neuronal, and behavioral responses to cocaine",PMC,2025,,
Broad brain biodistribution conferred by an AAV to restore TDP-43 function mitigates Frontotemporal Dementia-like deficits,https://pmc.ncbi.nlm.nih.gov/articles/PMC12424654/,2025,,
C9orf72 deficiency impairs the autophagic response to aggregated TDP-25 and exacerbates TDP-25-mediated neurodegeneration in vivo,https://pmc.ncbi.nlm.nih.gov/articles/PMC12205521/,2025,,
Characterizing the Content and Structure of AAV Capsids by Size Exclusion Chromatography and Orbitrap-Based Charge Detection-Mass Spectrometry,https://pubs.acs.org/doi/full/10.1021/jasms.5c00074,2025,,
Chromogranin A deficiency attenuates tauopathy by altering epinephrine–alpha-adrenergic receptor signaling in PS19 mice,https://www.nature.com/articles/s41467-025-59682-6,2025,,
Combination of hydrophilic interaction liquid chromatography and top-down mass spectrometry for characterisation of adeno-associated virus capsid proteins,https://link.springer.com/article/10.1007/s00216-025-05874-4,2025,,
Di-methylation of a specific arginine in AAV5 capsid proteins,https://pubmed.ncbi.nlm.nih.gov/40588170/,2025,,
Enabling icIEF Peak Identification of AAV Capsid Proteins by Fractionation on MauriceFlex and Subsequent Analysis by LC–MS,https://pmc.ncbi.nlm.nih.gov/articles/PMC11773307/,2025,,
Glutamate uptake is transiently compromised in the perilesional cortex following controlled cortical impact,https://pmc.ncbi.nlm.nih.gov/articles/PMC13017311/,2025,,
Highly efficient in vivo hematopoietic stem cell transduction using an optimized self-complementary adeno-associated virus,https://pmc.ncbi.nlm.nih.gov/articles/PMC11930595/,2025,,
Imaging bioluminescence by detecting localized haemodynamic contrast from photosensitized vasculature,https://pmc.ncbi.nlm.nih.gov/articles/PMC12121613/,2025,,
"Impact of electrostatics on the aggregation, genome release, and self-interactions of AAV9 capsids",https://www.sciencedirect.com/science/article/pii/S002235492500351X,2025,,
Increased CPT1a Expression Is a Critical Cardioprotective Response to Pathological Stress that Suppresses Gene Programs for Remodeling and Enables Rescue by Gene Transfer,PMC,2025,,
Innate immune response to AAV-based gene therapy vectors: Mechanisms of complement activation and cytokine release,https://pmc.ncbi.nlm.nih.gov/articles/PMC12409308/,2025,,
Interlaboratory Measurement of Adeno-Associated Virus: Comparative Quantification of Full and Empty Capsids,https://journals.sagepub.com/doi/full/10.1089/hum.2024.124,2025,,
Interneuron theta phase locking controls seizure susceptibility,https://pmc.ncbi.nlm.nih.gov/articles/PMC12440021/,2025,,
Leptin receptor neurons in the dorsomedial hypothalamus require distinct neuronal subsets for thermogenesis and weight loss,https://pmc.ncbi.nlm.nih.gov/articles/PMC11700787/,2025,,
Locus coeruleus vulnerability to tau hyperphosphorylation in a rat model,https://doi.org/10.1111/acel.14405,2025,,
Mass Determination of Filled and Empty AAV5 Particles Enabled by nano-Electrospray Ionization and Proton Transfer Charge Reduction,https://pmc.ncbi.nlm.nih.gov/articles/PMC12823214/,2025,,
Mice carrying the human dopamine D2 receptor pathogenic mutation p.Met374Arg exhibit hyperactivity and aberrant D2 receptor function,PMC,2025,,
"Neuronal APOE4 alone is sufficient to drive tau pathology, neurodegeneration, and neuroinflammation in an Alzheimer’s disease mouse model",PMC / bioRxiv preprint,2025,,
Next-Generation Percutaneous Catheter–Based Closed-Loop Perfusion Concept Enables High-Precision Organ Delivery of Advanced Therapies,https://pmc.ncbi.nlm.nih.gov/articles/PMC12666019/,2025,,
Prediabetic cardiomyopathy is attenuated by hypothalamic PVN oxytocin neuron activation,https://pmc.ncbi.nlm.nih.gov/articles/PMC13006082/,2025,,
PTPσ-mediated PI3P regulation modulates neurodegeneration in C9ORF72-ALS/FTD,https://pmc.ncbi.nlm.nih.gov/articles/PMC12005967/,2025,,
Recovery of retinal terminal fields after traumatic brain injury: evidence of collateral sprouting and sexual dimorphism,https://pmc.ncbi.nlm.nih.gov/articles/PMC12201153/,2025,,
Region-specific nucleus accumbens dopamine signals encode distinct aspects of avoidance learning,https://pubmed.ncbi.nlm.nih.gov/40267916/,2025,,
Salience Signaling and Stimulus Scaling of Ventral Tegmental Area Glutamate Neuron Subtypes,https://pmc.ncbi.nlm.nih.gov/articles/PMC12225595/,2025,,
Silencing hepatic PCSK9 via novel chimeric AAV8 mitigates the progression of atherosclerosis by inhibiting inflammation in ApoE−/− mice,https://www.sciencedirect.com/science/article/pii/S2329050124002067,2025,,
State-dependent modulation of spiny projection neurons controls levodopa-induced dyskinesia in a mouse model of Parkinson’s disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC12674127/,2025,,
Stimulation-Guided AAV Delivery and Longitudinal Assessment of Optogenetic Expression in Rat Motor Nerves,https://pmc.ncbi.nlm.nih.gov/articles/PMC12738070/,2025,,
Symptomatic treatment by a BBB-permeable AAV engineered to restore TDP-43 function slows motor neuron disease and prevents paralysis,https://pmc.ncbi.nlm.nih.gov/articles/PMC12478394/,2025,,
Transcription factor activator protein 4 (AP4)–mediated intrinsic control of axon regeneration,PMC,2025,,
Transcriptional regulation by PHGDH drives amyloid pathology in Alzheimer’s disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC12204802/,2025,,
A dose-escalation and safety gene therapy study in a model of CMT4C neuropathy,https://www.nature.com/articles/s41434-026-00616-2,2026,,
Astrocytic PERK Deficiency Drives Prefrontal Circuit Dysfunction and Depressive-Like Behaviors,https://pmc.ncbi.nlm.nih.gov/articles/PMC12904067/,2026,,
CAG-targeting artificial miRNA with reduced off-target risk for efficient lowering of pathogenic polyglutamine proteins,https://academic.oup.com/narmolmed/article/3/2/ugag023/8665776,2026,,
Cell- and state-specific plasticity of striatal glutamatergic synapses is critical to the expression of levodopa-induced dyskinesia,https://www.sciencedirect.com/science/article/pii/S0896627326003181,2026,,
"Efficacy and safety of SENS-501, a dual-AAV otoferlin gene therapy, for DFNB9 congenital deafness",PMC,2026,,
Intravenous rAAV9 Produces Time-Resolved Parenchymal Labeling Downstream of the Vasculature in Adult Mice,PMC,2026,,
Mapping cellular vulnerability in Parkinson’s disease using retro-AAVs and preformed α-synuclein fibrils,https://pmc.ncbi.nlm.nih.gov/articles/PMC12859986/,2026,,
Nanoparticles targeting liver sinusoidal endothelial cells improve tolerance to vector and transgene antigens through tolerance spreading,https://pubmed.ncbi.nlm.nih.gov/41821311/,2026,,
Prefrontal gamma oscillations engage dynamic cell type-specific configurations to support flexible behavior,https://pmc.ncbi.nlm.nih.gov/articles/PMC12340850/,2026,,
Psilocybin selectively rescues cognitive flexibility impairments caused by aberrant prefrontal error signaling (preprint),PMC,2026,,
Rapid rebalancing of co-tuned ensemble activity in the auditory cortex,https://elifesciences.org/articles/104242v1,2026,,
Response dynamics of discrete subiculum→retrosplenial cortex projections underlying trace fear conditioning,PMC,2026,,
Secretory form of viral protease NIa ameliorates amyloid-β pathology and cognitive deficits in a mouse model of Alzheimer’s disease,https://www.frontiersin.org/journals/aging-neuroscience/articles/10.3389/fnagi.2026.1720518/full,2026,,
Small heterodimer partner protects against osteoarthritis by inhibiting IKKβ/NF-κB-mediated matrix-degrading enzymes in chondrocytes,https://www.nature.com/articles/s41467-026-69864-5,2026,,
Synaptic mechanisms modulate the spatiotemporal dynamics of striatal direct pathway neurons and motor output,https://elifesciences.org/articles/98122v1,2026,,
Temporally segregated functions for Gfi1 in the development and maintenance of direction selectivity in the vertebrate retina,https://www.sciencedirect.com/science/article/pii/S0960982226007992,2026,,
The Importance of Synchrony in the Neural Control of Movement,https://pmc.ncbi.nlm.nih.gov/articles/PMC13320915/,2026,,
Transient prophylactic immunosuppression with abatacept or dasatinib prevents immune responses in AAV gene transfer,https://www.sciencedirect.com/science/article/pii/S1525001626002790,2026,,
Ionic regulation of permeation for high-yield AAV purification,ScienceDirect,2026,,
AAV-Mediated Transduction and Targeting of Retinal Bipolar Cells with Improved mGluR6 Promoters in Rodents and Primates,PMC article,2016,,
Voluntary urination control by brainstem neurons that relax the urethral sphincter,PMC article,2018,,
Exosomes derived from rAAV/AFP-transfected dendritic cells elicit specific T cell-mediated immune responses against hepatocellular carcinoma,PMC article,2018,,
Generation of infectious recombinant Adeno-associated virus in Saccharomyces cerevisiae,PMC article,2017,,
p75NTR ectodomain is a physiological neuroprotective molecule against amyloid-beta toxicity in the brain of Alzheimer’s disease,PMC article,2016,,
ChR2 Mutants at L132 and T159 with Improved Operational Light Sensitivity for Vision Restoration,PMC article,2014,,
State-dependent central synaptic regulation by GLP-1 is essential for energy homeostasis,PMC article,2024,,
Ca²⁺ channels couple spiking to mitochondrial metabolism in substantia nigra dopaminergic neurons,PMC,2022,,
A survey of ex vivo/in vitro transduction efficiency of mammalian primary cells and cell lines with nine natural adeno-associated virus (AAV1-9) and one engineered adeno-associated virus serotype,PMC,2013,,
Preservation of cardiac function in left ventricle cardiac hypertrophy using an AAV vector which provides VEGF-A expression in response to p53,PubMed,2015,,
Rational design and engineering of a modified adeno-associated virus (AAV1)-based vector system for enhanced retrograde gene delivery,PubMed,2015,,
AAV-Delivered Antibody Mediates Significant Protective Effects against SIVmac239 Challenge in the Absence of Neutralizing Activity,PMC,2015,,
Gene transfer properties and structural modeling of human stem cell-derived AAV,PMC,2014,,
Identification of the heparin binding site on adeno-associated virus serotype 3B (AAV-3B),PMC,2012,,
Targeted integration of a rAAV vector into the AAVS1 region,PubMed,2012,,
Conjugation of paclitaxel on adeno-associated virus (AAV) nanoparticles for co-delivery of genes and drugs,PubMed,2012,,
Engineering and evolution of synthetic adeno-associated virus (AAV) gene therapy vectors via DNA family shuffling,PMC,2012,,
Detailed Protocol for the Novel and Scalable Viral Vector Upstream Process for AAV Gene Therapy Manufacturing,PMC,2021,,
Disruption in dopaminergic innervation during photoreceptor degeneration,PMC,2016,,
Site-Specific Gene Editing of Human Hematopoietic Stem Cells for X-Linked Hyper-IgM Syndrome,PMC,2018,,
Inhibition of a Descending Prefrontal Circuit Prevents Ketamine-Induced Stress Resilience in Females,PMC,2018,,
Transient Activation of GABAB Receptors Suppresses SK Channel Currents in Substantia Nigra Pars Compacta Dopaminergic Neurons,PMC,2016,,
"Interactions between Early Life Stress, Nucleus Accumbens MeCP2 Expression, and Methamphetamine Self-Administration in Male Rats",PMC,2016,,
Secreted frizzled related protein 1 protects H9C2 cells from hypoxia/re-oxygenation injury by blocking the Wnt signaling pathway,PMC,2016,,
Global and Local Manipulation of DNA Repair Mechanisms to Alter Site-Specific Gene Editing Outcomes in Hematopoietic Stem Cells,Frontiers,2020,,
ProBDNF Signaling Regulates Depression-Like Behaviors in Rodents under Chronic Stress,PMC,2016,,
Opposing Effects of Acute versus Chronic Blockade of Frontal Cortex Somatostatin-Positive Inhibitory Neurons on Behavioral Emotionality in Mice,PMC,2014,,
Safety and feasibility of the gene transfer of hemopexin for conditions with increased free heme,PMC,2023,,
Sustained expression of hemopexin in an animal model of sickle cell anemia,PMC,2025,,
Slit2/Robo1 signaling constrains image stabilization responses to preserve ethologically favorable directional asymmetry,PMC,2025,,
Selective Enrichment of Full Capsids of Adeno-Associated Virus,PubMed,2025,,
Intramuscular delivery of p75NTR ectodomain by an AAV vector attenuates cognitive deficits and Alzheimer's disease-like pathologies in APP/PS1 transgenic mice,PubMed,2016,,
Do Your AAVs Contain DNA? Rapid and Sensitive Empty/Full Capsid Quantification with Simple Western,Application Note,2024,,
Lysosomal down-regulation of the mu opioid receptor is opposed by the Retromer complex,ScienceAdvances,2026,,
STABILITY CHARACTERIZATION OF MULTIPLE SEROTYPES OF ADENO-ASSOCIATED VIRUS USING CHARGE DETECTION MASS SPECTROMETRY,Poster,,,
Functional inhibition of deep brain non-visual opsins facilitates acute long day induction of reproductive recrudescence in male Japanese quail,Pubmed,2023,,
